# Search depth-cliff companion corpus.
#
# The 17 positions from game/tools/critique_fens.txt, wrapped in corpus format
# (id, category, expected_depth_n, expected_score_range, fen) so run_sweep.sh /
# search_bench can measure them. These under-represented king-danger / endgame /
# skill-phase positions are exactly where the main corpus is thin and where the
# depth cliff lives (Phase-2 search-cliff plan).
#
# No tactical assertions pinned yet (depth_n / score_range = '-'): these are
# measurement targets for the cliff (depth reached, ebf, qs-node blowup), not
# known-best-move regressions. The main corpus (corpus.txt) carries the tactical
# assertions; this file is the depth/ebf probe set.
#
# cliff-08 (king danger, P2-to-move Skill phase) vs cliff-09 (calm Skill phase)
# are THE diagnostic A/B pair: fixed-depth-5 showed cliff-08 = 11.7M qs-nodes /
# ebf 25.97 vs cliff-09 = 1.9k qs-nodes / ebf 5.39. Keep them adjacent.

cliff-01, cliff-midgame, -, -, 3c[2/0/0/14/15]k[2/0/0/3/6]c[2/0/0/8/11]c[2/0/0/9/4]1/1c[2/0/0/5/7]ggg1g1/2c[2/0/0/2/9]5/g6g/3C[2/0/0/9/4]GG2/2C[2/0/0/5/7]G4/1G2GC[2/0/0/8/11]G1/3K[2/1/0/3/6]C[2/0/0/14/15]3 P2 M 0 1 4 0 4 0x48000000000
cliff-02, cliff-midgame, -, -, 2gc[2/0/0/14/15]k[2/0/0/3/6]c[2/0/0/8/11]2/2g2gg1/2c[2/0/0/5/7]5/gc[2/0/0/2/9]5g/3C[2/0/0/9/4]1GG1/3G1C[2/0/0/8/11]2/1G2G1G1/3K[2/1/0/3/6]C[2/0/0/14/15]3 P1 M 1 3 0 0 6 0x200000
cliff-03, cliff-midgame, -, -, c[2/0/0/5/7]1gc[2/0/0/14/15]k[2/0/0/3/6]3/2g1c[2/0/0/8/11]g2/2g3g1/7g/4C[2/0/0/8/11]GG1/8/1G1c[2/0/0/2/9]GC[2/0/0/14/15]G1/1G[1/0/0/0/0]1K[2/1/0/3/6]4 P1 M 2 3 0 0 9 0x0
cliff-04, cliff-danger, -, -, 2gc[2/0/0/14/15]k[2/0/0/3/6]3/c[2/0/0/5/7]gg[2/1/0/0/0]2g2/3c[2/0/0/8/11]4/8/4gg2/2C[2/0/0/8/11]K[2/2/0/3/6]1G2/4GC[2/0/0/14/15]G1/GG[1/0/0/0/0]6 P2 S 3 5 6 0 12 0x0
cliff-05, cliff-danger, -, -, 2gc[2/0/0/14/15]1k[2/1/0/3/6]2/1g3g2/1c[2/0/0/5/7]6/3c[1/0/0/8/11]g[2/1/0/0/0]3/4Gg2/4G3/2C[2/0/0/8/11]K[2/2/0/3/6]1C[2/0/0/14/15]G1/GG[1/0/0/0/0]6 P2 M 0 6 4 0 14 0x2000001000000000
cliff-06, cliff-danger, -, -, 2gc[2/0/0/14/15]1k[2/1/0/3/6]2/1g3g[2/1/0/0/0]2/4g[1/0/0/0/0]3/1c[2/0/0/5/7]2g[2/1/0/0/0]3/4G3/3C[2/0/0/8/11]1G2/2K[2/2/0/3/6]2C[2/0/0/14/15]G1/GG[1/0/0/0/0]6 P1 M 2 9 2 0 16 0x0
cliff-07, cliff-danger, -, -, 2gc[2/0/0/14/15]k[2/1/0/3/6]3/1g6/4G[1/0/0/0/0]g[2/1/0/0/0]2/4g[2/1/0/0/0]G2/2K[2/2/0/3/6]5/3C[2/0/0/8/11]4/5C[2/0/0/14/15]G1/GG[1/0/0/0/0]6 P2 S 3 2 7 4 16 0x0
cliff-08, cliff-danger, -, -, 2gc[2/0/0/14/15]4/1g6/3k[2/1/0/3/6]1g[2/1/0/0/0]2/3G[1/0/1/0/0]1G2/2K[2/2/0/3/6]g[2/1/0/0/0]C[2/0/0/8/11]3/8/5C[2/0/0/14/15]G1/GG[1/0/0/0/0]6 P2 S 2 4 8 0 17 0x0 35 43 1
cliff-09, cliff-calm, -, -, 1c[2/0/0/1/9]1c[2/0/0/1/9]k[2/0/0/6/9]c[2/0/0/1/10]c[2/0/0/1/6]1/1c[2/0/0/6/10]1gggg1/g1g5/8/8/2G2G2/1C[2/0/0/1/6]GGGGC[2/0/0/1/9]1/2C[2/0/0/1/10]K[2/0/0/6/9]C[2/0/0/1/9]C[2/0/0/6/10]2 P2 S 2 8 8 0 2 0x0
cliff-10, cliff-calm, -, -, 4k[2/0/0/6/9]c[2/0/0/1/10]c[2/0/0/1/6]1/1c[2/0/0/6/10]1gggg1/gc[2/0/0/1/9]gc[2/0/0/1/9]4/8/8/2G2G2/1C[2/0/0/1/6]GGGGC[2/0/0/1/9]1/2C[2/0/0/1/10]K[2/0/0/6/9]C[2/0/0/1/9]C[2/0/0/6/10]2 P2 S 0 8 2 0 2 0x0
cliff-11, cliff-calm, -, -, 4k[2/0/0/6/9]c[2/0/0/1/10]1c[2/0/0/1/6]/1c[2/0/0/6/10]1gggg1/g1g5/c[2/0/0/1/9]1c[2/0/0/1/9]5/8/7G/GC[2/0/0/1/6]GGGGC[2/0/0/1/9]1/2C[2/0/0/1/10]K[2/0/0/6/9]C[2/0/0/1/9]C[2/0/0/6/10]2 P2 S 1 10 1 0 3 0x0
