# Curated corpus (~5 rows per bucket).
# Constraints: at most 1 pristine opening; vary (STM, phase, actions_rem) and loadout.
# Format: id, category, expected_depth_n, expected_score_range, fen

# --- opening-with-skills (5 rows) ---
opening-with-skills-01, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-02, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 1 6 6 0 1 0x4000000
opening-with-skills-03, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 2 0 6 0 1 0x0
opening-with-skills-04, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gg1ggg1/8/5g2/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 1 0 6 0 1 0x2000000000
opening-with-skills-05, opening-with-skills, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/8/12]C[2/0/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P1 M 1 6 6 0 1 0x4000000

# --- midgame-move (5 rows) ---
midgame-move-01, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/3g[1/0/0/0/0]gg2/8/2K[2/0/0/9/5]5/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 3 0 0 4 0x0
midgame-move-02, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/3g[1/0/0/0/0]gg2/2G5/2K[2/0/0/9/5]5/2G2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 1 3 0 0 4 0x4000000
midgame-move-03, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/3g[1/0/0/0/0]gg2/2G2G2/2K[2/0/0/9/5]1C[2/0/0/4/9]3/2G2G2/1C[2/0/0/5/7]C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 2 0 2 0 4 0x0
midgame-move-04, midgame-move, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/1/0/15/5]c[2/2/0/12/6]1/8/2g[1/0/0/0/0]2g[2/1/0/0/0]2/2g[1/0/0/0/0]1gg2/2G[1/0/0/0/0]2G2/2K[2/0/0/9/5]1C[2/0/0/4/9]3/2G2G2/1C[2/0/0/5/7]C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 1 0 2 0 4 0x400000000
