# Auto-generated corpus rows (v2). Hand-curate before committing.
# Format: id, category, expected_depth_n, expected_score_range, fen [; expected_best_move_raw,...]
# Curation target: ~5 rows per bucket after review.

# --- opening-with-skills (20 candidates) ---
opening-with-skills-01, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-02, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 1 6 6 0 1 0x4000000
opening-with-skills-03, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 2 0 6 0 1 0x0
opening-with-skills-04, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gg1ggg1/8/5g2/2GK[2/0/0/9/5]1G2/8/1GG2GG1/1C[2/0/0/5/7]C[2/0/0/5/13]1C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 1 0 6 0 1 0x2000000000
opening-with-skills-05, opening-with-skills, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/8/12]C[2/0/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-06, opening-with-skills, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/8/12]C[2/0/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P1 M 1 6 6 0 1 0x4000000
opening-with-skills-07, opening-with-skills, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/2/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P2 M 2 2 6 0 1 0x0
opening-with-skills-08, opening-with-skills, -, -, 1c[2/0/0/8/15]c[2/0/0/2/9]c[2/0/0/11/6]k[2/0/0/7/10]c[2/0/0/12/14]c[2/0/0/7/10]1/1gg1ggg1/8/2g5/2G2G2/8/1GG2GG1/1C[2/0/0/8/12]C[2/2/0/5/6]K[2/0/0/9/10]C[2/0/0/14/2]C[2/0/0/14/10]C[2/0/0/13/8]1 P2 M 1 2 6 0 1 0x400000000
opening-with-skills-09, opening-with-skills, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/4/10]C[2/0/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 M 2 6 6 0 1 0x0
opening-with-skills-10, opening-with-skills, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gggggg1/8/8/2G5/8/1GG1GGG1/1C[2/0/0/4/10]C[2/0/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P1 M 1 6 6 0 1 0x4000000
opening-with-skills-11, opening-with-skills, -, -, 1c[2/0/0/2/6]c[2/0/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1gggggg1/8/8/2G2G2/8/1GG2GG1/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]C[2/0/0/9/7]C[2/0/0/5/12]C[2/0/0/11/12]1 P2 M 2 0 6 0 1 0x0
